Groups:
ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[11..0] =, ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[11], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[10], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[9], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[8], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[7], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[6], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[5], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[4], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[3], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[2], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[1], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[0],  hex

Data:
time unit: s, ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[11..0], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[11], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[10], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[9], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[8], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[7], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[6], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[5], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[4], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[3], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[2], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[1], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_data[0], ADC:ADC_INSTANCE|ADC_modular_adc_0:modular_adc_0|response_valid, 
88, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
89, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
90, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
91, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
92, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
93, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
94, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
95, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
96, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
97, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
98, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
99, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
100, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
101, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
102, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
103, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
104, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
105, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
106, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
107, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
108, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
109, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
110, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
111, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
112, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
113, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
114, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
115, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
116, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
117, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
118, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
119, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
120, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
121, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
122, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
123, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
124, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
125, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
126, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
127, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
128, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
129, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
130, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
131, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
132, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
133, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
134, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
135, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
136, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
137, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
138, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
139, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
140, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
141, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
142, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
143, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
144, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
145, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
146, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
147, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
148, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
149, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
150, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
151, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
152, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
153, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
154, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
155, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
156, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
157, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
158, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
159, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
160, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
161, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
162, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
163, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
164, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
165, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
166, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
167, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
168, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
169, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
170, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
171, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
172, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
173, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
174, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
175, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
176, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
177, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
178, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
179, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
180, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
181, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
182, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
183, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
184, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
185, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
186, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
187, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
188, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
189, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
190, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
191, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
192, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
193, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
194, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
195, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
196, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
197, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
198, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
199, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
200, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
201, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
202, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
203, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
204, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
205, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
206, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
207, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
208, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
209, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
210, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
211, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
212, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
213, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
214, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
215, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
216, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
217, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
218, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
219, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
220, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
221, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
222, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
223, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
224, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
225, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
226, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
227, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
228, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
229, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
230, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
231, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
232, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
233, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
234, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
235, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
236, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
237, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
238, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
239, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
240, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
241, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
242, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
243, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
244, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
245, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
246, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
247, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
248, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
249, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
250, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
251, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
252, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
253, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
254, 000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
